item_code,item_name,category,uom,predicted_rate,source,last_po_price,last_po_date,erp_rate,live_metal_rate
AL-111-00043,"Aluminium Foil, Electrical Grade:1070A-O, Size : 340(Width) x 1.5(Thick) (Hardness less than 30)",AL-111-,KGS,432.32,costing formula (live metal),,,,367.9
AL-222-00064,"Aluminium Strip, As per IS 13730 | IEC 60317 | Part - 8 Class-H Size: 6 x 2 Enamelled 0.11 MM (Finished OD=6.1 x 2.1)",AL-222-,KGS,432.32,costing formula (live metal),,,0,367.9
AL-222-00056,"Aluminium Strip, As per IS:6162-Part-2, Class-A, Size:  12 x 3.9, PC 0.35 MM Kraft Paper Covering(Finished OD=12.35 x 4.25)",AL-222-,KGS,432.32,costing formula (live metal),,,0,367.9
AL-222-00253,"Aluminium Strip, Bare Size : 4 x 2.5 with Poleyester and Fibreglass Covering 0.5mm, Finished OD : 4.5 x 3, As per IS 11597-1986",AL-222-,KGS,443.45,recent PO (age-weighted),443.45,2025-11-22,,367.9
AL-222-00292,"Aluminium Strip, Bare Size : 5 x 2.5 with Poleyester and Fibreglass Covering 0.5mm, Finished OD : 5.5 x 3, As per IS 11597-1986",AL-222-,KGS,432.32,costing formula (live metal),558.25,2026-08-08,,367.9
AL-111-00036,TESTING OCT 25 BULK PROCUREMENT,AL-111-,KGS,432.32,costing formula (live metal),500.0,2025-10-18,,367.9
AL-222-00244,TESTING OCT 25 BULK PROCUREMENT_2,AL-222-,KGS,432.32,costing formula (live metal),200.0,2025-10-18,,367.9
CC-555-00173," Core Lamination -1 Strips, Size: 440(L) x 110(W), Grade: CRNGO - 0.35mm Thick, Core Loss: Max 3.5 W/Kg @ 1.7T",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00174," Core Lamination -2 Strips, Size: 260(L) x 110(W), Grade: CRNGO - 0.35mm Thick, Core Loss: Max 3.5W/Kg @ 1.7T",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00152," Core Lamination 1 Strips, Size: 170(L) x 45(W) ,Grade: M4, CRGO -0.27mm Thick, Core Loss: Max 0.89w/Kg @ 1.5T, 50Hz",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
CC-555-00185," Core Lamination 1 Strips, Size: 405(L) x 45(W) ,Grade: M4, CRGO -0.27mm Thick, Core Loss: Max 0.89w/Kg @ 1.5T, 50Hz",CC-555-,KGS,175.0,metal benchmark (indicative),,,0,175.0
